SH,true
5748.4684799160705,7035
4705.918463229603,705
5748.4684799160705,5851
-498.9534084897454,4792
30998.137020068207,269
561.9791021937141,14288
1362.9306263483056,159
30998.137020068207,1
5748.4684799160705,1
1777.849776566094,1068
30998.137020068207,29953
15840.45768426393,339
-60.39962313296927,662
1294.6527915023403,1562
-44.643199706977285,1336
30998.137020068207,521
7090.390541696387,694
5748.4684799160705,791
3009.4768743644668,299
30998.137020068207,693
15840.45768426393,1947
-304.62418623584443,445
1544.1294957472132,574
1265.7660152213555,864
15840.45768426393,148
2032.578621952965,1297
-601.3701607586939,1994
30998.137020068207,286
15840.45768426393,1028
5748.4684799160705,467
15840.45768426393,485
2612.940218143668,894
2612.940218143668,845
7090.390541696387,183
2612.940218143668,317
653.8915721786665,298
5748.4684799160705,209
30998.137020068207,189
653.8915721786665,472
1727.9544357171196,384
7090.390541696387,214
30998.137020068207,149
30998.137020068207,173
30998.137020068207,260
3009.4768743644668,108
1181.7317569493975,131
2707.4787586996213,77
7090.390541696387,596
30998.137020068207,1418
1777.849776566094,1402
5748.4684799160705,148
7090.390541696387,252
4290.999313011814,308
30998.137020068207,168
4705.918463229603,1349
15840.45768426393,162
30998.137020068207,58
-1218.496744943379,77
4290.999313011814,203
-1218.496744943379,313
-1218.496744943379,405
15840.45768426393,231
30998.137020068207,328
30998.137020068207,623
7090.390541696387,200
23.634635138988084,76
23.634635138988084,174
3345.6139074522953,94
1777.849776566094,2350
3009.4768743644668,130
-622.3787253266829,29
-622.3787253266829,134
30998.137020068207,132
5748.4684799160705,249
15840.45768426393,56
-5.252141141997343,34
2612.940218143668,214
-5.252141141997343,67
-5.252141141997343,205
30998.137020068207,204
-1352.4263440643106,98
30998.137020068207,158
7090.390541696387,109
1777.849776566094,169
30998.137020068207,89
30998.137020068207,111
-1310.4092149283324,31
4782.074509788563,155
1504.738437182233,74
1504.738437182233,69
30998.137020068207,227
30998.137020068207,217
1504.738437182233,40
1504.738437182233,49
15840.45768426393,18
4705.918463229603,41
2612.940218143668,42
5748.4684799160705,300
4705.918463229603,157
